time_step,int_pos_x,int_pos_y,int_pos_z,tgt_pos_x,tgt_pos_y,tgt_pos_z,applied_force_x,applied_force_y,applied_force_z
0,0.054083943108588564,0.03834423305588586,15.021144906475977,19975.012549574683,10000.0,14992.479239872406,4326.715448687085,3067.538644470868,4519.055018078183
1,0.16218068983303946,0.11507274546935903,30.06334896087489,19950.037639519633,10000.0,14984.937729164172,4324.149226869941,3072.9578552577404,4514.6445234369385
2,0.3242189969489375,0.23022555795252647,45.126526159503555,19925.075260651032,10000.0,14977.375477416586,4321.579534417076,3078.383677250159,4510.224821577176
3,0.5401275174385824,0.38384266585080123,60.21059025322067,19900.125403805625,10000.0,14969.792494165296,4319.006469748958,3083.8162269884706,4505.795789632033
4,0.8098348004284526,0.5759640393673846,75.3154547471255,19875.188059840657,10000.0,14962.188788940348,4316.430129223613,3089.25562018375,4501.357303463667
5,1.1332692911257145,0.8066296237893392,90.4410329002431,19850.26321963383,10000.0,14954.564371266215,4313.850607142657,3094.701971717429,4496.909237681129
6,1.5103593307537677,1.0758793397152633,105.58723772520621,19825.350874083248,10000.0,14946.919250661838,4311.267995757691,3100.1553956411826,4492.451465658047
7,1.9410331564868113,1.3837530832845748,120.7539819879336,19800.45101410737,10000.0,14939.25343664065,4308.682385276954,3105.6160051770357,4487.983859550135
8,2.425218901383418,1.730290726408417,135.941178207305,19775.563630644963,10000.0,14931.566938710619,4306.093863872289,3111.0839127177237,4483.506290312496
9,2.962844594319104,2.1155321170021932,151.14873865483247,19750.68871465505,10000.0,14923.859766374268,4303.502517686386,3116.5592298272727,4479.018627716731
10,3.553838159917884,2.539517079219743,166.37657535432822,19725.82625711686,10000.0,14916.13192912872,4300.908430840296,3122.0420672418136,4474.520740367848
11,4.19812741848279,3.0022854136891675,181.6246000815689,19700.976249029773,10000.0,14908.383436465727,4298.311685441203,3127.5325348706083,4470.012495720961
12,4.895640085925352,3.503876897750317,196.89272436395623,19676.138681413282,10000.0,14900.614297871698,4295.712361590461,3133.030741797301,4465.493760097779
13,5.646303773694019,4.044331285693948,212.18085948017406,19651.31354530694,10000.0,14892.82452282774,4293.110537391875,3138.536796281376,4460.964398702877
14,6.450045988701501,4.623688309002561,227.48891645984168,19626.500831770307,10000.0,14885.01412080968,4290.5062889602095,3144.050805759833,4456.424275639754
15,7.306794133251043,5.241987676592929,242.81680608316347,19601.7005318829,10000.0,14877.183101288105,4287.899690429928,3149.572876849047,4451.873253926666
16,8.216475504961581,5.899269075060334,258.1644388805749,19576.91263674415,10000.0,14869.331473728396,4285.290813964167,3155.1031153468507,4447.311195512223
17,9.179017296691796,6.595572168924507,273.5317251323845,19552.13713747335,10000.0,14861.459247590754,4282.679729763892,3160.6416262347866,4442.737961290779
18,10.194346596463042,7.330936600877294,288.91857486841246,19527.37402520961,10000.0,14853.566432330232,4280.066506077286,3166.1885136805636,4438.153411117566
19,11.262390387381119,8.10540199203206,304.32489786762494,19502.6232911118,10000.0,14845.65303739677,4277.451209209307,3171.7438810406975,4433.557403823613
20,12.383075547556905,8.919007942174835,319.7506036577648,19477.884926358507,10000.0,14837.719072235232,4274.833903531443,3177.3078308633208,4428.949797230414
21,13.556328850025809,9.771794030017208,335.19560151497853,19453.158922147988,10000.0,14829.764546285423,4272.21465149165,3182.8804648911805,4424.3304481643745
22,14.782076962666038,10.663799813451003,350.6598004634388,19428.44526969812,10000.0,14821.789468982135,4269.593513624436,3188.4618840647972,4419.699212470991
23,16.060246448115667,11.595064829804718,366.1431092749635,19403.743960246353,10000.0,14813.793849755173,4266.9705485611385,3194.052188525802,4415.055945028815
24,17.390763763688483,12.565628596101757,381.64543646863063,19379.054985049654,10000.0,14805.777698029384,4264.345813040321,3199.651477620417,4410.400499763149
25,18.773555261288617,13.57553060932046,397.16669031038913,19354.378335384466,10000.0,14797.741023224693,4261.71936191834,3205.2598499031164,4405.732729659513
26,20.20854718732391,14.624810346655954,412.70677881266556,19329.714002546665,10000.0,14789.68383475613,4259.091248180035,3210.87740314042,4401.052486776858
27,21.695665682618017,15.713507265783809,428.2656097339668,19305.061977851503,10000.0,14781.606142033865,4256.46152294956,3216.5042343148543,4396.359622260526
28,23.234836782321256,16.841660805125542,443.8430905784788,19280.42225263356,10000.0,14773.507954463235,4253.830235501322,3222.1404396290372,4391.653986354961
29,24.825986415820132,18.00931038411596,459.43912859566046,19255.794818246708,10000.0,14765.389281444779,4251.197433271051,3227.786114509931,4386.935428416177
30,26.46904040664557,19.216495403472358,475.05363077983424,19231.179666064043,10000.0,14757.250132374264,4248.563161866965,3233.4413536131974,4382.203796923973
31,28.16392447237981,20.463255245465593,490.68650386977174,19206.57678747786,10000.0,14749.09051664272,4245.927465081039,3239.1062508277214,4377.458939493878
32,29.910564224561984,21.749629274193026,506.33765434827546,19181.98617389959,10000.0,14740.910443636469,4243.290384900379,3244.780899280232,4372.700702888871
33,31.70888516859229,23.075656835853366,522.006988441756,19157.407816759758,10000.0,14732.709922737155,4240.651961518657,3250.4653913400666,4367.928933030829
34,33.55881270363483,24.441377259023422,537.694412119805,19132.841707507934,10000.0,14724.488963321775,4238.0122333476575,3256.159818624048,4363.143475011727
35,35.46027212251904,25.84682985493676,553.3998310947635,19108.28783761269,10000.0,14716.247574762712,4235.371237028873,3261.864272001484,4358.344173104585
36,37.41318861163968,27.29205391776429,569.1231508212865,19083.74619856155,10000.0,14707.985766427757,4232.729007445178,3267.578841599263,4353.530870774163
